工况,参数,样本数,均值,标准差,中位数,IQR,p5,p95,最小值,最大值
待机-高位,采煤机_油泵_右电机_电流,2962,1.2241728561782579,6.351326487520504,0.0,0.0,0.0,18.0,0.0,211.0
待机-高位,采煤机_油泵_左电机_电流,2962,1.2204591492234977,7.171880347318846,0.0,0.0,0.0,17.0,0.0,225.0
待机-高位,采煤机_油泵_右电机_温度,2962,46.3133018230925,4.1217648254385155,46.0,8.0,41.0,53.0,36.0,57.0
待机-高位,采煤机_油泵_左电机_温度,2962,47.40378122889939,4.469760262353643,47.0,8.0,42.0,55.0,37.0,59.0
割煤低位,采煤机_截割部位_右滚筒_电机_电流,335,99.05074626865671,11.628597958819421,100.0,0.0,72.8,100.0,57.0,187.0
割煤低位,采煤机_截割部位_左滚筒_电机_电流,335,104.75223880597015,13.511789856899107,107.0,0.0,68.0,107.0,55.0,242.0
割煤低位,采煤机_截割部位_右滚筒_电机_温度,335,6.838805970149254,20.41226551975355,0.0,0.0,0.0,67.0,0.0,76.0
割煤低位,采煤机_截割部位_左滚筒_电机_温度,335,7.429850746268657,22.171657414704853,0.0,0.0,0.0,73.30000000000001,0.0,84.0
割煤低位,采煤机_牵引部位_右电机_电流,335,160.62388059701493,24.235203761447462,168.0,0.0,88.0,168.0,35.0,168.0
割煤低位,采煤机_牵引部位_左电机_电流,335,173.27164179104477,27.60511960937329,182.0,0.0,91.5,182.0,48.0,182.0
割煤低位,采煤机_牵引部位_右电机_温度,335,6.623880597014925,19.795718589968022,0.0,0.0,0.0,66.0,0.0,74.0
割煤低位,采煤机_牵引部位_左电机_温度,335,6.597014925373134,19.692910840147178,0.0,0.0,0.0,65.30000000000001,0.0,72.0
割煤低位,采煤机_破碎机_电机_电流,335,0.2208955223880597,2.3446692357143517,0.0,0.0,0.0,0.0,0.0,27.0
割煤低位,采煤机_破碎机_电机_温度,335,13.761194029850746,78.803873219501,0.0,0.0,0.0,47.0,0.0,645.0
割煤低位,采煤机_油泵_右电机_电流,335,46.77014925373134,9.77192162353594,50.0,0.0,17.0,50.0,17.0,50.0
割煤低位,采煤机_油泵_左电机_电流,335,17.065671641791045,1.2321019824535473,17.0,0.0,17.0,17.0,16.0,37.0
割煤低位,采煤机_油泵_右电机_温度,335,5.235820895522388,15.604665409264172,0.0,0.0,0.0,52.0,0.0,59.0
割煤低位,采煤机_油泵_左电机_温度,335,5.376119402985075,16.025968567392624,0.0,0.0,0.0,53.0,0.0,58.0
