事件ID,开始时间,结束时间,时长_分钟,工况,方法集,严重度,触发行数,归因摘要
58,2024-04-01 17:34:00,2024-04-01 17:34:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,5.794,30,正常
59,2024-04-01 17:52:00,2024-04-01 17:53:00,2.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.606,60,残差异常：采煤机_牵引部位_右电机_电流 偏高（残差 Z-score=3.6，实际=182.0 vs 预测=26.6）
60,2024-04-01 18:00:00,2024-04-01 18:00:00,1.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,5.005,30,正常
61,2024-04-01 18:02:00,2024-04-01 18:02:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.587,30,残差异常：采煤机_油泵_左电机_电流 偏高（残差 Z-score=4.6，实际=55.0 vs 预测=16.8）
62,2024-04-01 18:21:00,2024-04-01 18:21:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.251,30,残差异常：采煤机_油泵_左电机_电流 偏高（残差 Z-score=4.3，实际=53.0 vs 预测=17.6）
63,2024-04-01 18:47:00,2024-04-01 18:49:00,3.0,带载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.482,76,正常
64,2024-04-01 18:58:00,2024-04-01 18:59:00,2.0,带载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.001,46,正常
65,2024-04-01 19:09:00,2024-04-01 19:09:00,1.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1.933,30,正常
66,2024-04-01 19:21:00,2024-04-01 19:21:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.707,30,残差异常：采煤机_油泵_左电机_电流 偏高（残差 Z-score=4.7，实际=49.0 vs 预测=9.8）
67,2024-04-01 19:30:00,2024-04-01 19:30:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.978,30,正常
68,2024-04-01 19:57:00,2024-04-01 19:59:00,3.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8.511,90,正常
69,2024-04-01 20:03:00,2024-04-01 20:05:00,3.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.067,90,正常
70,2024-04-01 20:08:00,2024-04-01 20:08:00,1.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.562,30,残差异常：采煤机_油泵_左电机_电流 偏高（残差 Z-score=3.6，实际=38.0 vs 预测=13.0）
71,2024-04-01 20:10:00,2024-04-01 20:10:00,1.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1.542,30,正常
72,2024-04-01 20:22:00,2024-04-01 20:26:00,5.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.788,150,残差异常：采煤机_截割部位_左滚筒_电机_电流 偏高（残差 Z-score=6.8，实际=254.0 vs 预测=0.0）
73,2024-04-01 20:39:00,2024-04-01 20:40:00,2.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8.031,60,正常
74,2024-04-01 20:44:00,2024-04-01 20:44:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.771,30,正常
75,2024-04-01 20:46:00,2024-04-01 20:46:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,5.761,30,正常
76,2024-04-01 20:48:00,2024-04-01 20:48:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,5.622,30,正常
77,2024-04-01 20:59:00,2024-04-01 20:59:00,1.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.212,30,正常
78,2024-04-01 21:11:00,2024-04-01 21:11:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,5.295,30,残差异常：采煤机_油泵_右电机_电流 偏高（残差 Z-score=5.3，实际=59.0 vs 预测=17.0）
79,2024-04-01 21:27:00,2024-04-01 21:27:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.263,30,残差异常：采煤机_牵引部位_左电机_电流 偏高（残差 Z-score=4.3，实际=208.0 vs 预测=24.8）
80,2024-04-01 22:10:00,2024-04-01 22:11:00,2.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.442,60,正常
81,2024-04-01 22:15:00,2024-04-01 22:15:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.2,30,正常
82,2024-04-01 22:27:00,2024-04-01 22:27:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2.549,30,正常
83,2024-04-01 22:30:00,2024-04-01 22:34:00,5.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,43.421,150,Mahalanobis 距离=43.4（阈值=18.5）。主要贡献特征：PC2 (86.5%); PC3 (13.1%)。
84,2024-04-01 22:57:00,2024-04-01 22:58:00,2.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,7.307,60,残差异常：采煤机_油泵_左电机_温度 偏高（残差 Z-score=7.3，实际=60.0 vs 预测=51.8）
85,2024-04-01 23:39:00,2024-04-01 23:40:00,2.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8.695,60,正常
