事件ID,开始时间,结束时间,时长_分钟,工况,方法集,严重度,触发行数,归因摘要
2619,2024-04-25 14:27:00,2024-04-25 14:27:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1.217,30,正常
2620,2024-04-25 14:29:00,2024-04-25 14:34:00,6.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1828.004,180,Mahalanobis 距离=1828.0（阈值=18.5）。主要贡献特征：PC3 (60.9%); PC2 (22.7%); PC4 (16.4%)。
2621,2024-04-25 14:38:00,2024-04-25 14:40:00,3.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,5.208,90,正常
2622,2024-04-25 15:26:00,2024-04-25 15:28:00,3.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8.688,90,正常
2623,2024-04-25 15:30:00,2024-04-25 15:37:00,8.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1563.621,240,Mahalanobis 距离=1563.6（阈值=18.5）。主要贡献特征：PC3 (61.4%); PC2 (23.1%); PC4 (15.4%)。
2624,2024-04-25 15:43:00,2024-04-25 15:48:00,6.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,578.333,180,Mahalanobis 距离=578.3（阈值=18.5）。主要贡献特征：PC4 (72.9%); PC3 (21.0%); PC2 (6.1%)。
2625,2024-04-25 15:50:00,2024-04-25 15:51:00,2.0,割煤高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2.629,60,正常
2626,2024-04-25 15:53:00,2024-04-25 15:53:00,1.0,割煤高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1.914,30,正常
2627,2024-04-25 15:55:00,2024-04-25 15:55:00,1.0,割煤高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.954,30,残差异常：采煤机_牵引部位_左电机_电流 偏高（残差 Z-score=4.0，实际=235.0 vs 预测=111.4）
2628,2024-04-25 15:58:00,2024-04-25 15:58:00,1.0,待机-高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1257.997,30,Mahalanobis 距离=1258.0（阈值=18.5）。主要贡献特征：PC2 (61.2%); PC3 (38.3%)。
2629,2024-04-25 16:00:00,2024-04-25 16:00:00,1.0,割煤高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.319,30,正常
2630,2024-04-25 16:02:00,2024-04-25 16:09:00,8.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4351.015,240,Mahalanobis 距离=4351.0（阈值=18.5）。主要贡献特征：PC2 (89.2%); PC3 (10.4%)。
2631,2024-04-25 16:14:00,2024-04-25 16:15:00,2.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1997.837,60,Mahalanobis 距离=1997.8（阈值=18.5）。主要贡献特征：PC2 (70.1%); PC3 (29.2%)。
2632,2024-04-25 16:21:00,2024-04-25 16:23:00,3.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2264.888,90,Mahalanobis 距离=2264.9（阈值=18.5）。主要贡献特征：PC2 (70.9%); PC3 (28.6%)。
2633,2024-04-25 16:26:00,2024-04-25 16:30:00,5.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,941.09,150,Mahalanobis 距离=941.1（阈值=18.5）。主要贡献特征：PC2 (60.0%); PC3 (38.9%); PC4 (1.1%)。
2634,2024-04-25 16:34:00,2024-04-25 16:36:00,3.0,割煤中位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.79,90,残差异常：采煤机_截割部位_右滚筒_电机_电流 偏高（残差 Z-score=3.8，实际=205.0 vs 预测=72.8）
2635,2024-04-25 16:48:00,2024-04-25 16:49:00,2.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2902.13,60,Mahalanobis 距离=2902.1（阈值=18.5）。主要贡献特征：PC2 (69.5%); PC3 (30.4%)。
2636,2024-04-25 17:02:00,2024-04-25 17:05:00,4.0,待机-高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3708.964,120,Mahalanobis 距离=3709.0（阈值=18.5）。主要贡献特征：PC2 (78.6%); PC3 (20.9%)。
2637,2024-04-25 17:59:00,2024-04-25 18:04:00,6.0,待机-高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3506.055,180,Mahalanobis 距离=3506.1（阈值=18.5）。主要贡献特征：PC2 (89.0%); PC3 (10.7%)。
2638,2024-04-25 18:31:00,2024-04-25 18:35:00,5.0,割煤高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,5.515,150,正常
2639,2024-04-25 18:46:00,2024-04-25 18:48:00,3.0,割煤高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.441,90,正常
2640,2024-04-25 18:53:00,2024-04-25 18:54:00,2.0,割煤高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,5.929,60,正常
2641,2024-04-25 18:56:00,2024-04-25 19:01:00,6.0,割煤高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,7.09,180,正常
2642,2024-04-25 19:04:00,2024-04-25 19:04:00,1.0,割煤中位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.023,30,正常
2643,2024-04-25 19:10:00,2024-04-25 19:11:00,2.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3251.298,60,Mahalanobis 距离=3251.3（阈值=18.5）。主要贡献特征：PC2 (74.9%); PC3 (25.0%)。
2644,2024-04-25 19:17:00,2024-04-25 19:19:00,3.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2883.24,90,Mahalanobis 距离=2883.2（阈值=18.5）。主要贡献特征：PC2 (69.7%); PC3 (30.2%)。
2645,2024-04-25 19:26:00,2024-04-25 19:29:00,4.0,待机-高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1699.351,120,Mahalanobis 距离=1699.4（阈值=18.5）。主要贡献特征：PC2 (68.3%); PC3 (31.3%)。
2646,2024-04-25 19:35:00,2024-04-25 19:41:00,7.0,待机-高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,14.597,210,正常
2647,2024-04-25 20:11:00,2024-04-25 20:11:00,1.0,割煤中位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.549,30,残差异常：采煤机_截割部位_右滚筒_电机_电流 偏高（残差 Z-score=3.5，实际=203.0 vs 预测=79.2）
2648,2024-04-25 20:24:00,2024-04-25 20:24:00,1.0,割煤中位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1.577,30,正常
2649,2024-04-25 20:26:00,2024-04-25 20:26:00,1.0,割煤高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.903,30,正常
2650,2024-04-25 20:28:00,2024-04-25 20:28:00,1.0,待机-高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1804.906,30,Mahalanobis 距离=1804.9（阈值=18.5）。主要贡献特征：PC2 (60.5%); PC3 (39.4%)。
2651,2024-04-25 20:38:00,2024-04-25 20:38:00,1.0,割煤高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.057,30,残差异常：采煤机_油泵_右电机_电流 偏高（残差 Z-score=4.1，实际=47.0 vs 预测=17.0）
2652,2024-04-25 20:43:00,2024-04-25 20:43:00,1.0,割煤高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.439,30,正常
2653,2024-04-25 20:58:00,2024-04-25 20:58:00,1.0,割煤中位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.33,30,正常
2654,2024-04-25 21:02:00,2024-04-25 21:05:00,4.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1957.379,120,Mahalanobis 距离=1957.4（阈值=18.5）。主要贡献特征：PC2 (68.6%); PC3 (30.9%)。
2655,2024-04-25 21:07:00,2024-04-25 21:07:00,1.0,割煤高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.61,30,正常
2656,2024-04-25 21:27:00,2024-04-25 21:27:00,1.0,割煤高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.895,30,残差异常：采煤机_油泵_右电机_电流 偏高（残差 Z-score=4.9，实际=53.0 vs 预测=16.8）
