事件ID,开始时间,结束时间,时长_分钟,工况,方法集,严重度,触发行数,归因摘要
2298,2024-04-26 08:48:00,2024-04-26 08:48:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,18.517,34,Mahalanobis 距离=18.5（阈值=18.5）。主要贡献特征：PC3 (53.4%); PC2 (41.2%); PC4 (5.4%)。
2299,2024-04-26 10:30:00,2024-04-26 13:04:00,155.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,20.511,5270,Mahalanobis 距离=20.5（阈值=18.5）。主要贡献特征：PC3 (61.2%); PC2 (32.3%); PC4 (6.2%)。
2300,2024-04-26 13:11:00,2024-04-26 13:16:00,6.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,770.047,204,Mahalanobis 距离=770.0（阈值=18.5）。主要贡献特征：PC4 (55.2%); PC3 (32.2%); PC2 (12.5%)。
2301,2024-04-26 15:49:00,2024-04-26 16:09:00,21.0,轻载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2831.814,714,Mahalanobis 距离=2831.8（阈值=18.5）。主要贡献特征：PC2 (82.2%); PC3 (16.8%); PC4 (1.0%)。
2302,2024-04-26 16:24:00,2024-04-26 16:29:00,6.0,轻载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2518.699,204,Mahalanobis 距离=2518.7（阈值=18.5）。主要贡献特征：PC2 (80.7%); PC3 (19.2%)。
2303,2024-04-26 16:36:00,2024-04-26 17:15:00,40.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2072.044,1360,Mahalanobis 距离=2072.0（阈值=18.5）。主要贡献特征：PC2 (71.3%); PC3 (27.7%); PC4 (1.0%)。
2304,2024-04-26 17:17:00,2024-04-26 17:28:00,12.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1742.424,408,Mahalanobis 距离=1742.4（阈值=18.5）。主要贡献特征：PC2 (87.2%); PC3 (11.7%); PC4 (1.1%)。
2305,2024-04-26 17:30:00,2024-04-26 17:39:00,10.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.767,340,正常
2306,2024-04-26 17:45:00,2024-04-26 17:52:00,8.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4223.563,272,Mahalanobis 距离=4223.6（阈值=18.5）。主要贡献特征：PC2 (86.3%); PC4 (12.2%); PC3 (1.5%)。
2307,2024-04-26 17:56:00,2024-04-26 17:56:00,1.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,5.215,34,正常
2308,2024-04-26 18:01:00,2024-04-26 18:04:00,4.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1163.533,136,Mahalanobis 距离=1163.5（阈值=18.5）。主要贡献特征：PC2 (61.5%); PC3 (37.9%)。
2309,2024-04-26 18:10:00,2024-04-26 18:17:00,8.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,5.632,272,正常
2310,2024-04-26 18:28:00,2024-04-26 18:28:00,1.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.462,34,正常
2311,2024-04-26 18:37:00,2024-04-26 18:38:00,2.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.672,68,正常
2312,2024-04-26 18:53:00,2024-04-26 18:53:00,1.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.397,34,残差异常：采煤机_油泵_右电机_电流 偏高（残差 Z-score=6.4，实际=58.0 vs 预测=16.6）
2313,2024-04-26 18:55:00,2024-04-26 18:55:00,1.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.077,34,正常
2314,2024-04-26 19:00:00,2024-04-26 19:00:00,1.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.574,34,残差异常：采煤机_油泵_右电机_电流 偏高（残差 Z-score=4.6，实际=46.0 vs 预测=16.4）
