事件ID,开始时间,结束时间,时长_分钟,工况,方法集,严重度,触发行数,归因摘要
2099,2024-04-20 07:17:00,2024-04-20 07:17:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1711.529,38,Mahalanobis 距离=1711.5（阈值=18.5）。主要贡献特征：PC1 (95.4%); PC4 (2.3%); PC3 (2.3%)。
2100,2024-04-20 07:20:00,2024-04-20 07:20:00,1.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3907.48,38,Mahalanobis 距离=3907.5（阈值=18.5）。主要贡献特征：PC1 (85.2%); PC4 (10.2%); PC3 (4.6%)。
2101,2024-04-20 07:31:00,2024-04-20 07:31:00,1.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4001.589,38,Mahalanobis 距离=4001.6（阈值=18.5）。主要贡献特征：PC1 (87.2%); PC4 (10.4%); PC3 (2.4%)。
2102,2024-04-20 07:33:00,2024-04-20 07:33:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1438.621,38,Mahalanobis 距离=1438.6（阈值=18.5）。主要贡献特征：PC1 (91.2%); PC3 (7.1%); PC4 (1.7%)。
2103,2024-04-20 07:37:00,2024-04-20 07:37:00,1.0,重载牵引,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.549,38,正常
2104,2024-04-20 07:50:00,2024-04-20 07:53:00,4.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2040.106,152,Mahalanobis 距离=2040.1（阈值=18.5）。主要贡献特征：PC1 (97.7%); PC3 (2.1%)。
2105,2024-04-20 07:55:00,2024-04-20 07:57:00,3.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3944.14,114,Mahalanobis 距离=3944.1（阈值=18.5）。主要贡献特征：PC1 (96.3%); PC3 (2.8%)。
2106,2024-04-20 08:08:00,2024-04-20 08:08:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2163.478,38,Mahalanobis 距离=2163.5（阈值=18.5）。主要贡献特征：PC1 (92.9%); PC3 (5.6%); PC4 (1.6%)。
2107,2024-04-20 08:12:00,2024-04-20 08:12:00,1.0,重载牵引,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,5.67,38,正常
2108,2024-04-20 08:15:00,2024-04-20 08:19:00,5.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3634.032,190,Mahalanobis 距离=3634.0（阈值=18.5）。主要贡献特征：PC1 (85.0%); PC3 (11.8%); PC4 (3.2%)。
2109,2024-04-20 08:27:00,2024-04-20 08:38:00,12.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1393.285,456,Mahalanobis 距离=1393.3（阈值=18.5）。主要贡献特征：PC1 (74.5%); PC3 (23.3%); PC4 (2.2%)。
2110,2024-04-20 09:24:00,2024-04-20 09:53:00,30.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,27.029,1140,Mahalanobis 距离=27.0（阈值=18.5）。主要贡献特征：PC3 (56.4%); PC4 (43.3%)。
2111,2024-04-20 09:57:00,2024-04-20 10:04:00,8.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,26.707,304,Mahalanobis 距离=26.7（阈值=18.5）。主要贡献特征：PC3 (56.1%); PC4 (43.7%)。
2112,2024-04-20 10:06:00,2024-04-20 10:11:00,6.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,486.13,228,Mahalanobis 距离=486.1（阈值=18.5）。主要贡献特征：PC1 (52.8%); PC3 (45.0%); PC4 (2.2%)。
2113,2024-04-20 10:25:00,2024-04-20 10:29:00,5.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,228.003,190,Mahalanobis 距离=228.0（阈值=18.5）。主要贡献特征：PC3 (53.9%); PC1 (36.6%); PC4 (9.6%)。
2114,2024-04-20 13:17:00,2024-04-20 13:21:00,5.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,147.418,190,Mahalanobis 距离=147.4（阈值=18.5）。主要贡献特征：PC3 (65.8%); PC1 (30.9%); PC4 (3.2%)。
2115,2024-04-20 13:51:00,2024-04-20 13:58:00,8.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4418.34,304,Mahalanobis 距离=4418.3（阈值=18.5）。主要贡献特征：PC3 (68.7%); PC1 (31.1%)。
2116,2024-04-20 16:14:00,2024-04-20 16:27:00,14.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,27.616,532,Mahalanobis 距离=27.6（阈值=18.5）。主要贡献特征：PC3 (59.0%); PC4 (40.3%)。
2117,2024-04-20 16:42:00,2024-04-20 16:49:00,8.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2737.934,304,Mahalanobis 距离=2737.9（阈值=18.5）。主要贡献特征：PC3 (69.8%); PC1 (29.7%)。
2118,2024-04-20 18:22:00,2024-04-20 18:28:00,7.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,502.662,266,Mahalanobis 距离=502.7（阈值=18.5）。主要贡献特征：PC1 (53.0%); PC3 (44.5%); PC4 (2.4%)。
2119,2024-04-20 18:31:00,2024-04-20 18:43:00,13.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,258.243,494,Mahalanobis 距离=258.2（阈值=18.5）。主要贡献特征：PC3 (52.7%); PC1 (39.9%); PC4 (7.4%)。
